X,Y,Z,Name,Description,Season,Episode,BroadcastDate,Link,,,,,,,
-124.4749371,42.4066996,0,02.09 Off-Shore Minerals,"In 1990, the research ship Aloha set off to explore the sea bed off the coast of Gold Beach on the South Coast. The trip was meant to determine whether there were commercially valuable deposits of minerals, including gold, platinum and titanium, off the coast. Unexpectedly, Greenpeace's Rainbow Warrior and a flotilla of local fishermen surrounded the boat to protest offshore mining. The expedition failed to find significant mineral deposits.",2,9,3/18/91,,,,,,,,
-123.0689057,44.0435963,0,02.09 Oregon Fossils,a report on recent finds in Oregon and the University of Oregon's collection. University of oregon,2,9,3/18/91,,,,,,,,
-123.2372814,45.4797821,0,02.09 Spotlighting Deer,"Oregon's Blacktail deer are elusive and secretive. You would be lucky to see one during daylight hours, and that's why Fish and Game officials have adopted spotlight counting, during nighttime hours when the deer are at their most active. Learn more about the great Tilamook Brun which devastated the coastal forest, but was a boom the the Blacktail population. As the Forest has grown the Blacktails numbers have declined.",2,9,3/18/91,,,,,,,,
-119.6279177,42.523095,0,02.10 Bighorn Sheep,"How do you capture a bighorn sheep? Fire a net from a gun while hanging out of an airborne helicopter. Why? Bighorns were common in Oregon until sheep ranching and hunting wiped them out. Since the 1950s, the state of Oregon has been reseeding the sheep across the state. The Hart Mountain Antelope Refuge is home to the main herd, which was originally transported from Canada.",2,10,3/25/91,,,,,,,,
-121.759389,45.3032269,0,02.10 Computerized Trail Information System,"Hikers and the Forest Service get together to create T.R.I.S., the Trails Information System for computer. Information includes current conditions and difficulty level for more than 400 trails in Oregon and Washington.",2,10,3/25/91,,,,,,,,
-118.5739727,42.6371668,0,02.10 Steens Mountain Climate,"Take a tour of the rugged Steens Mountains and surrounding area. Listen to scientists talk about the collection of information, examining pollen and ash in sedimentary rock and core samples to unearth records of climatic and geologic changes going back thousands of years.",2,10,3/25/91,,,,,,,,
-121.4176286,43.8941476,0,02.11 Challenge Course,"Groups participate in team-building activities on various ground level and high wire courses at the Sunriver Challenge Course outside of Bend, Oregon.",2,11,4/1/91,,,,,,,,
,,0,02.11 Lost Animals of Oregon,"Many species of animals that thrived in Oregon 200 years ago are now gone. A distinct species of Oregon buffalo was hunted to extinction before Europeans even arrived. Next up was the sea otter, eliminated by Russian fur traders. Then went the wolves, grizzlies, condors, fishers, lynxes, and other victims of settlement.",2,11,4/1/91,,,,,,,,
-122.1762593,46.262502,0,02.11 Mount St. Helens Elk (part 2),"The land surrounding Mount St. Helens is some of the newest in the world. A moonscape typography created by an explosive volcanic blast, little plant and wildlife was left unscathed. Special vegetation planted after the blast however, has provided an unintentionally abundant food supply for a once dwindling species of elk on the mountain. Now making an unexpected comeback, biologists monitor the growth of the population to ensure their survival.",2,11,4/1/91,,,,,,,,
,,0,02.12 Bald Eagles,"Visit a winter roosting site for Bald Eagles located on the Oregon/California border. Harsh weather has provided the Eagles with a much anticipated food supply. Birds who have failed to migrate before the storm are now in a weakened, disadvantaged condition. Watch as Eagles scavenge the marshland for food, and learn why Ben Franklin thought the birds too lazy to be an appropriate symbol of the nation.",2,12,4/8/91,,,,,,,,
-118.9554326,44.4300478,0,02.12 Firefighters' Camp,"When a forest fire breaks out, the response is rapid. A small city springs up almost overnight in the vicinity. When 1500 firefighters and crew descend on a fire in Grant County, their camp becomes the second biggest city in the county.",2,12,4/8/91,,,,,,,,
,,0,02.12 Global Warming,"Rapid changes in temperature could potentially cause droughts, heat waves, and floods across Oregon. Increases in green house gases may have happened before in the Earth�s history, but never at the dramatic rate that scientists are currently studying. Scientists hope to learn more about these changes in order to predict, or even prevent, the possible outcomes. See how some University of Oregon scientists are using sophisticated methods of examining past climate in order to predict what the future climate might be like. Changes seem to be happening at a much faster rate than anything we�ve seen in the past and there are indications that Oregon�s temperatures may rise 10 degrees over the next century. The big challenge is to predict the change before it gets here and determine our capacity to deal with the consequences of increasing drought, floods and heatwaves.",2,12,4/8/91,,,,,,,,
-120.8395279,44.296257,0,02.13 Fur Trapping,"Trappers in Oregon catch coyotes, fox, bobcat, muskrat, beaver and other animals and sell their pelts. Animal rights activists deplore trapping which they say is cruel. But the state relies on trappers to keep populations in check.",2,13,4/15/91,,,,,,,,
-118.144863,45.510953,0,02.13 Mountain Lions,"Once considering the cougar a dangerous varmint, human kind now appears to be willing to reach an accommodation with the fierce carnivore. But before an understanding can be reached, Biologists must learn as much as they can about the mountain lion. Head into the snow-covered mountains as researchers track down cougars with deceptive ease using radio collars, and watch as they tranquillize a mother and her cub in order to study their behavior.",2,13,4/15/91,,,,,,,,
